customerEmail,orderId,paymentMethodId,transactionAmount,transactionFailed,transactionId
josephhoward@yahoo.com,vjbdvd,wt07xm68b,18,False,a9lcj51r
josephhoward@yahoo.com,yp6x27,wt07xm68b,26,False,y4wcv03i
evansjeffery@yahoo.com,nlghpa,41ug157xz,45,False,5mi94sfw
evansjeffery@yahoo.com,uw0eeb,41ug157xz,23,False,br8ba1nu
evansjeffery@yahoo.com,bn44oh,y3xp697jx,43,True,a33145ss
andersonwilliam@yahoo.com,yk34y2,8pneoi03z,33,False,q3lyvbza
andersonwilliam@yahoo.com,28v6b0,8pneoi03z,24,True,3alf9irw
andersonwilliam@yahoo.com,28v6b0,8pneoi03z,24,False,69w9wymx
andersonwilliam@yahoo.com,itnk8y,dluy3jka0,25,True,pegqc4ud
andersonwilliam@yahoo.com,itnk8y,8pneoi03z,25,False,uo3slwh7
rubenjuarez@yahoo.com,fbz9ep,pdxjdwui4,34,False,vx4cjc27
rubenjuarez@yahoo.com,7odnn6,pdxjdwui4,26,False,yiay9b0n
rubenjuarez@yahoo.com,audx7o,pdxjdwui4,25,False,sn3v0ql2
uchen@malone.com,56h7iw,olr4zf09x,71,False,q8j3dgni
uchen@malone.com,kowj1v,gehl28i8u,66,True,xjulqy8x
uchen@malone.com,wlznfu,gehl28i8u,69,False,rvm65vr1
uchen@malone.com,hm3rth,76bw9eqg2,46,True,kckrvagp
uchen@malone.com,vvq05w,s6escw45g,68,False,2slep8t9
uchen@malone.com,xwo0al,76bw9eqg2,59,False,yd80pfko
uchen@malone.com,2528x8,w1i1zq3rg,32,False,ckk3ux58
robinsoncynthia@dunn.com,vq7j5b,n5fj5bc0e,25,False,67qcpl0r
samuel15@saunders-rhodes.com,sq7rk9,je76d0ulj,40,True,9jutaun8
samuel15@saunders-rhodes.com,sq7rk9,je76d0ulj,40,False,lla8uo92
johnlowery@gmail.com,kanub7,yxsf33ipw,65,True,cfoevtai
johnlowery@gmail.com,kanub7,8xex97krx,65,False,300mewnx
johnlowery@gmail.com,605pbl,yxsf33ipw,36,False,kg0emdbe
johnlowery@gmail.com,7fs5td,yxsf33ipw,68,False,crwqqfpi
johnlowery@gmail.com,ccuh4k,8xex97krx,74,True,u2xbyl92
johnlowery@gmail.com,lajvhn,8xex97krx,55,False,c5w6btep
